date,val
1960,637142865.714286
1961,642857134.285714
1962,660000008.571429
1963,728571437.142857
1964,782857128.571429
1965,868571428.571429
1966,914285714.285714
1967,962857134.285714
1968,1065714248.57143
1969,978873232.394366
1970,718401157.724163
1971,969911421.39418
1972,505549441.375077
1973,702899155.982034
1974,588443893.689773
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,2533727592.04165
1994,2791435272.26653
1995,3441205692.9166
1996,3506695719.57259
1997,3443413388.65696
1998,3120425502.66241
1999,3517242477.2548
2000,3654031716.39855
2001,3984000517.07441
2002,4284028482.51213
2003,4658246918.32119
2004,5337833248.01434
2005,6293046161.75932
2006,7274595706.57406
2007,8639235912.59077
2008,10351914177.4839
2009,10401851767.7083
2010,11242275287.581
2011,12829541141.062
2012,14054443213.4887
2013,15227991395.1207
2014,16702610842.3529
2015,18049954289.4721
2016,20016747857.6367
2017,22177200588.1826
2018,24571753583.3935
2019,27089390032.798
2020,25872797891.7664
2021,26961061151.7337
2022,29504829319.3169
2023,nan
